City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,galesong,-5.3166,119.3661,86.02,73,100,12.46,ID,1672628706
1,flinders,-34.5833,150.8552,83.17,59,1,8.01,AU,1672628706
2,san ignacio,17.1561,-89.0714,70.21,99,22,3.47,BZ,1672628442
3,srednekolymsk,67.45,153.6833,-34.29,98,99,5.7,RU,1672628707
4,peniche,39.3558,-9.3811,53.92,64,69,12.64,PT,1672628707
5,saint george,37.1041,-113.5841,45.25,85,100,10.36,US,1672628708
6,vaini,-21.2,-175.2,78.96,89,75,6.91,TO,1672628708
7,rikitea,-23.1203,-134.9692,77.76,75,100,11.05,PF,1672628708
8,bredasdorp,-34.5322,20.0403,65.52,92,21,10.83,ZA,1672628709
9,hobart,-42.8794,147.3294,82.27,78,40,14.97,AU,1672628709
10,digras,20.1167,77.7167,66.24,50,0,5.91,IN,1672628710
11,ponta do sol,32.6667,-17.1,64.0,82,100,5.84,PT,1672628710
12,punta arenas,-53.15,-70.9167,50.11,61,92,25.72,CL,1672628592
13,aquin,18.2833,-73.4,73.11,83,1,1.68,HT,1672628711
14,kapaa,22.0752,-159.319,79.12,77,0,9.22,US,1672628711
15,bethel,41.3712,-73.414,44.96,73,100,3.44,US,1672628711
16,mar del plata,-38.0023,-57.5575,66.09,88,100,5.99,AR,1672628575
17,sambava,-14.2667,50.1667,74.35,84,19,3.51,MG,1672628712
18,ahipara,-35.1667,173.1667,72.0,59,100,16.04,NZ,1672628712
19,cape town,-33.9258,18.4232,72.37,69,0,8.01,ZA,1672628713
20,severo-kurilsk,50.6789,156.125,27.37,93,100,20.29,RU,1672628713
21,pahrump,36.2083,-115.9839,44.65,57,34,13.0,US,1672628713
22,manga,11.6636,-1.0731,64.6,18,4,8.37,BF,1672628714
23,bahia honda,22.9036,-83.1592,73.81,87,91,8.43,CU,1672628714
24,gonaives,19.45,-72.6833,73.24,84,6,7.31,HT,1672628715
25,fallon,39.4735,-118.7774,30.07,80,40,8.05,US,1672628715
26,hithadhoo,-0.6,73.0833,81.52,71,99,11.65,MV,1672628605
27,buala,-8.145,159.5921,83.37,80,87,10.94,SB,1672628716
28,kavieng,-2.5744,150.7967,84.65,67,76,4.63,PG,1672628438
29,ape,57.5393,26.6929,27.72,96,16,4.03,LV,1672628716
30,hilo,19.7297,-155.09,76.24,83,75,5.75,US,1672628666
31,mgachi,51.05,142.2667,-5.04,80,37,9.22,RU,1672628717
32,georgetown,5.4112,100.3354,84.13,68,20,10.36,MY,1672628450
33,nanortalik,60.1432,-45.2371,8.33,67,2,14.2,GL,1672628603
34,hermanus,-34.4187,19.2345,69.8,82,9,15.23,ZA,1672628717
35,evensk,61.95,159.2333,-11.74,76,1,7.92,RU,1672628718
36,ushuaia,-54.8,-68.3,47.86,71,75,17.27,AR,1672628718
37,mataura,-46.1927,168.8643,77.74,38,92,5.26,NZ,1672628719
38,nouadhibou,20.931,-17.0347,69.58,56,0,14.43,MR,1672628719
39,tasiilaq,65.6145,-37.6368,1.56,53,0,9.51,GL,1672628719
40,albany,42.6001,-73.9662,37.58,86,33,2.57,US,1672628720
41,wamba,8.9333,8.6,66.09,32,92,4.27,NG,1672628441
42,jamestown,42.097,-79.2353,42.03,75,100,5.75,US,1672628720
43,yellowknife,62.456,-114.3525,-16.89,100,25,4.56,CA,1672628557
44,whitianga,-36.8333,175.7,65.39,74,100,17.27,NZ,1672628721
45,kloulklubed,7.0419,134.2556,79.3,81,100,20.96,PW,1672628721
46,carnarvon,-24.8667,113.6333,81.07,54,6,18.14,AU,1672628722
47,puerto ayora,-0.7393,-90.3518,72.55,96,18,7.0,EC,1672628722
48,praia,14.9215,-23.5087,73.2,79,100,11.74,CV,1672628722
49,montevideo,-34.8335,-56.1674,72.52,81,100,1.99,UY,1672628503
50,klaksvik,62.2266,-6.589,29.32,51,82,8.46,FO,1672628723
51,salinas,36.6777,-121.6555,52.83,80,40,3.44,US,1672628723
52,akdepe,42.0551,59.3788,30.99,93,19,9.22,TM,1672628724
53,pisco,-13.7,-76.2167,69.03,78,100,3.13,PE,1672628613
54,vostok,46.4856,135.8833,-8.01,92,100,12.39,RU,1672628724
55,cardston,49.2,-113.3019,17.4,83,6,8.41,CA,1672628725
56,nome,64.5011,-165.4064,12.27,79,0,5.75,US,1672628725
57,akhtanizovskaya,45.32,37.1,50.47,87,26,15.61,RU,1672628725
58,ilinskoye-khovanskoye,56.9718,39.7684,28.31,85,66,15.14,RU,1672628726
59,arraial do cabo,-22.9661,-42.0278,75.06,88,40,10.36,BR,1672628691
60,jackson,42.4165,-122.8345,38.66,85,100,3.0,US,1672628439
61,lindi,-10.0,39.7167,71.98,96,68,2.68,TZ,1672628726
62,vila franca do campo,37.7167,-25.4333,57.61,70,78,10.33,PT,1672628727
63,porto novo,6.4965,2.6036,71.58,51,27,3.24,BJ,1672628487
64,tsimlyansk,47.6461,42.1019,44.01,88,67,22.01,RU,1672628727
65,butaritari,3.0707,172.7902,81.88,72,100,15.14,KI,1672628728
66,kashi,39.4547,75.9797,19.65,52,5,0.29,CN,1672628728
67,ust-tsilma,65.441,52.1498,10.15,94,100,10.31,RU,1672628728
68,bongandanga,1.5,21.05,70.72,76,94,1.63,CD,1672628729
69,port alfred,-33.5906,26.891,65.17,92,14,11.88,ZA,1672628729
70,road town,18.4167,-64.6167,77.09,73,1,15.86,VG,1672628729
71,saint-philippe,-21.3585,55.7679,76.59,79,71,1.79,RE,1672628730
72,busselton,-33.65,115.3333,76.96,35,0,7.29,AU,1672628730
73,olivet,47.8622,1.8991,57.11,87,100,12.66,FR,1672628730
74,mochishche,55.1586,83.1229,1.8,96,99,9.17,RU,1672628731
75,castro,-24.7911,-50.0119,62.4,93,6,4.52,BR,1672628731
76,hualmay,-11.0964,-77.6139,69.96,82,90,9.51,PE,1672628732
77,kangaatsiaq,68.3065,-53.4641,-0.58,96,100,5.35,GL,1672628732
78,comodoro rivadavia,-45.8667,-67.5,62.46,36,0,24.16,AR,1672628733
79,uglovskoye,51.3557,80.1942,4.95,93,72,8.16,RU,1672628733
80,praia da vitoria,38.7333,-27.0667,58.75,81,79,14.7,PT,1672628535
81,brae,60.3964,-1.353,39.96,67,99,8.37,GB,1672628733
82,kodiak,57.79,-152.4072,38.71,100,100,8.05,US,1672628734
83,fortuna,40.5982,-124.1573,43.14,94,0,1.01,US,1672628598
84,kamenka,51.3223,42.7678,42.19,92,100,19.82,RU,1672628734
85,new norfolk,-42.7826,147.0587,81.91,45,98,3.0,AU,1672628734
86,caravelas,-17.7125,-39.2481,73.96,90,98,5.08,BR,1672628735
87,kaitangata,-46.2817,169.8464,67.06,60,51,10.09,NZ,1672628735
88,sept-iles,50.2001,-66.3821,14.88,81,91,8.46,CA,1672628458
89,erenhot,43.6475,111.9767,10.74,50,1,8.79,CN,1672628736
90,port elizabeth,-33.918,25.5701,67.32,94,13,8.01,ZA,1672628523
91,barrow,71.2906,-156.7887,6.82,85,100,12.66,US,1672628663
92,tazovskiy,67.4667,78.7,-13.18,100,97,4.9,RU,1672628736
93,zyryanka,65.75,150.85,-38.49,95,60,7.23,RU,1672628737
94,harper,4.375,-7.7169,76.26,77,0,1.52,LR,1672628737
95,san juan,-31.5375,-68.5364,76.23,29,0,10.63,AR,1672628614
96,dongsheng,39.8161,109.9776,17.49,45,7,2.62,CN,1672628737
97,mount isa,-20.7333,139.5,85.77,66,96,12.66,AU,1672628738
98,cherskiy,68.75,161.3,-46.8,99,59,4.99,RU,1672628738
99,sangar,63.9242,127.4739,-39.08,99,94,2.1,RU,1672628739
100,barcelos,41.5388,-8.6151,48.92,85,14,2.8,PT,1672628739
101,nikolskoye,59.7035,30.7861,28.8,81,8,12.82,RU,1672628739
102,thinadhoo,0.5333,72.9333,80.58,76,100,11.7,MV,1672628740
103,kahului,20.8947,-156.47,78.82,72,75,12.66,US,1672628740
104,qaanaaq,77.484,-69.3632,1.11,61,100,5.21,GL,1672628740
105,sitka,57.0531,-135.33,44.49,70,100,24.16,US,1672628741
106,tecoanapa,16.5167,-98.75,77.18,76,99,6.02,MX,1672628741
107,provideniya,64.3833,-173.3,-1.26,78,0,11.97,RU,1672628741
108,chokurdakh,70.6333,147.9167,-25.2,100,100,3.58,RU,1672628742
109,grindavik,63.8424,-22.4338,32.47,80,75,20.71,IS,1672628742
110,bluff,-46.6,168.3333,63.27,64,99,5.12,NZ,1672628743
111,andra,62.5147,65.8878,-4.79,98,100,16.2,RU,1672628743
112,kuna,43.4918,-116.4201,33.28,85,0,9.22,US,1672628743
113,shihezi,44.3,86.0333,6.39,89,29,3.04,CN,1672628744
114,chuy,-33.6971,-53.4616,72.36,84,100,2.04,UY,1672628744
115,tuatapere,-46.1333,167.6833,68.09,60,100,8.66,NZ,1672628744
116,ulaangom,49.9811,92.0667,-10.77,96,100,1.3,MN,1672628745
117,penalva,-3.2942,-45.1736,73.08,97,68,3.09,BR,1672628653
118,kulhudhuffushi,6.6221,73.07,80.06,72,100,9.93,MV,1672628745
119,flin flon,54.7682,-101.865,-5.6,100,82,3.18,CA,1672628746
120,namatanai,-3.6667,152.4333,85.03,67,99,5.44,PG,1672628746
121,ambulu,-8.345,113.6058,84.78,67,97,5.35,ID,1672628747
122,sakakah,29.9697,40.2064,48.52,59,97,12.64,SA,1672628747
123,redlands,34.0556,-117.1825,51.3,92,54,2.82,US,1672628620
124,blagoyevo,63.3667,47.9167,30.69,96,100,8.16,RU,1672628748
125,kruisfontein,-34.0033,24.7314,62.89,87,76,7.18,ZA,1672628748
126,majene,-3.5403,118.9707,86.07,62,100,9.35,ID,1672628748
127,petatlan,17.5167,-101.2667,72.99,83,100,3.65,MX,1672628749
128,sarkand,45.41,79.9186,19.71,70,66,7.05,KZ,1672628749
129,luderitz,-26.6481,15.1594,64.94,86,25,11.23,NA,1672628749
130,saint-georges,12.0564,-61.7485,75.76,84,21,11.3,GD,1672628750
131,new castle,41.0037,-80.347,49.28,97,100,3.44,US,1672628750
132,rocha,-34.4833,-54.3333,70.7,86,100,6.53,UY,1672628750
133,vila velha,-20.3297,-40.2925,76.95,94,40,3.44,BR,1672628751
134,tezonapa,18.6092,-96.6917,71.1,87,94,2.1,MX,1672628751
135,meaford,44.6001,-80.583,38.25,96,99,11.34,CA,1672628751
136,ribeira grande,38.5167,-28.7,59.77,76,82,18.01,PT,1672628752
137,tuktoyaktuk,69.4541,-133.0374,-9.0,90,10,15.66,CA,1672628609
138,trairi,-3.2778,-39.2689,78.69,82,100,8.46,BR,1672628653
139,monrovia,6.3005,-10.7969,76.59,80,2,1.01,LR,1672628752
140,haines junction,60.7522,-137.5108,15.28,99,100,1.54,CA,1672628753
141,rovinj,45.08,13.64,53.42,87,86,0.51,HR,1672628597
142,atuona,-9.8,-139.0333,78.3,78,7,18.77,PF,1672628753
143,inverness,57.4791,-4.224,35.51,95,43,10.36,GB,1672628754
144,nishihara,26.1842,127.7558,65.86,59,75,11.5,JP,1672628754
145,khatanga,71.9667,102.5,-12.59,96,100,10.85,RU,1672628754
146,pevek,69.7008,170.3133,-35.12,99,99,3.58,RU,1672628755
147,abha,18.2164,42.5053,50.25,71,0,0.0,SA,1672628755
148,carman,49.4992,-98.0016,5.27,96,43,4.38,CA,1672628755
149,kapit,2.0167,112.9333,86.29,64,96,1.95,MY,1672628756
150,talnakh,69.4865,88.3972,-13.11,82,100,6.33,RU,1672628756
151,port-gentil,-0.7193,8.7815,79.75,79,100,7.18,GA,1672628757
152,agirish,61.9247,63.0231,-2.18,96,100,10.94,RU,1672628757
153,san patricio,28.017,-97.5169,71.83,96,32,13.89,US,1672628757
154,bandarbeyla,9.4942,50.8122,76.51,73,53,21.43,SO,1672628758
155,tuy hoa,13.0833,109.3,72.63,85,100,11.9,VN,1672628758
156,mahebourg,-20.4081,57.7,78.26,83,40,3.44,MU,1672628520
157,margate,51.3813,1.3862,45.9,94,100,1.01,GB,1672628530
158,palimbang,6.2106,124.1894,84.43,69,88,5.5,PH,1672628758
159,gresham,45.4982,-122.4315,40.87,93,0,9.22,US,1672628759
160,xichang,27.8964,102.2634,42.78,92,99,3.76,CN,1672628759
161,lastoursville,-0.8143,12.7287,73.44,90,100,0.83,GA,1672628760
162,san quintin,30.4833,-115.95,57.72,62,21,20.18,MX,1672628760
163,arlit,18.7369,7.3853,55.29,28,0,5.77,NE,1672628761
164,san lorenzo,-25.3333,-57.5333,88.74,48,75,6.91,PY,1672628761
165,bengkulu,-3.8004,102.2655,80.65,71,99,3.49,ID,1672628761
166,kisanga,-7.4362,37.7034,70.12,93,30,1.81,TZ,1672628762
167,asosa,10.0667,34.5333,63.39,63,76,4.09,ET,1672628762
168,itarema,-2.9248,-39.9167,79.02,82,100,11.25,BR,1672628762
169,adre,13.4667,22.2,59.34,37,0,16.08,TD,1672628763
170,ploemeur,47.7333,-3.4333,50.95,94,75,6.91,FR,1672628763
171,rio hato,8.3833,-80.1667,76.78,87,5,6.76,PA,1672628764
172,sulangan,11.1373,123.7228,79.59,83,88,11.54,PH,1672628764
173,deputatskiy,69.3,139.9,-21.86,98,100,3.89,RU,1672628765
174,mercedes,-34.6515,-59.4307,65.79,94,27,8.93,AR,1672628765
175,samarai,-10.6167,150.6667,85.06,68,100,9.98,PG,1672628765
176,ancud,-41.8697,-73.8203,52.05,80,58,4.88,CL,1672628766
177,shingu,33.7333,135.9833,53.4,42,10,11.07,JP,1672628766
178,dikson,73.5069,80.5464,-16.98,100,100,6.35,RU,1672628766
179,vao,-22.6667,167.4833,77.88,71,0,16.75,NC,1672628767
180,duyun,26.2667,107.5167,42.06,86,100,4.97,CN,1672628767
181,broken hill,-31.95,141.4333,98.67,23,69,13.49,AU,1672628767
182,bocana de paiwas,12.7857,-85.1227,69.93,96,9,4.65,NI,1672628768
183,martinez,38.0194,-122.1341,56.5,55,0,3.0,US,1672628768
184,salalah,17.0151,54.0924,75.29,41,0,10.36,OM,1672628768
185,platanos,37.6667,21.6167,50.56,60,0,4.97,GR,1672628769
186,houma,29.5958,-90.7195,69.01,96,100,5.75,US,1672628513
187,yegorlykskaya,46.5656,40.6562,45.66,86,75,21.0,RU,1672628770
188,uribia,11.7139,-72.266,76.62,81,0,9.71,CO,1672628770
189,avarua,-21.2078,-159.775,82.45,89,75,6.91,CK,1672628771
190,airai,-8.9266,125.4092,68.88,77,100,7.2,TL,1672628771
191,codrington,-38.2667,141.9667,70.72,63,17,12.21,AU,1672628771
192,portland,45.5234,-122.6762,41.29,93,88,3.0,US,1672628403
193,leningradskiy,69.3833,178.4167,-32.28,96,50,4.7,RU,1672628772
194,katsuura,35.1333,140.3,49.3,40,20,8.05,JP,1672628613
195,ormara,25.2088,64.6357,66.4,33,6,16.26,PK,1672628772
196,tabou,4.423,-7.3528,76.19,76,0,0.67,CI,1672628773
197,kenai,60.5544,-151.2583,35.1,89,100,18.41,US,1672628773
198,verkhniy uslon,55.7701,48.9823,32.22,99,100,10.22,RU,1672628773
199,alyangula,-13.8483,136.4192,86.7,68,100,17.16,AU,1672628774
200,santa ines,-3.6667,-45.38,72.97,97,81,4.0,BR,1672628559
201,leshukonskoye,64.8989,45.7622,17.76,97,100,2.48,RU,1672628774
202,bambous virieux,-20.3428,57.7575,78.22,83,40,3.44,MU,1672628775
203,watertown,42.3709,-71.1828,43.7,71,100,11.5,US,1672628746
204,astana,51.1801,71.446,19.35,93,100,11.18,KZ,1672628605
205,segezha,63.7415,34.3222,30.38,87,100,18.7,RU,1672628775
206,shahabad,27.65,79.95,52.84,50,0,1.9,IN,1672628776
207,saint-joseph,-21.3667,55.6167,75.58,79,40,0.87,RE,1672628776
208,tiksi,71.6872,128.8694,-24.41,99,99,4.88,RU,1672628776
209,carros,43.7894,7.184,51.73,88,40,8.05,FR,1672628777
210,kaeo,-35.1,173.7833,71.33,70,100,17.49,NZ,1672628777
211,longyearbyen,78.2186,15.6401,31.84,69,75,23.02,SJ,1672628596
212,mitu,1.1983,-70.1733,71.47,97,100,1.32,CO,1672628778
213,zaraza,9.3503,-65.3245,75.43,83,63,7.74,VE,1672628778
214,soyo,-6.1349,12.3689,76.5,86,100,5.66,AO,1672628779
215,lamu,-2.2717,40.902,75.76,82,4,9.37,KE,1672628779
216,coihaique,-45.5752,-72.0662,48.81,96,98,8.48,CL,1672628649
217,namibe,-15.1961,12.1522,72.88,73,100,5.28,AO,1672628780
218,hirara,24.8,125.2833,67.42,78,100,22.03,JP,1672628780
219,mwanza,-2.5167,32.9,67.57,63,25,9.1,TZ,1672628780
220,pangai,-19.8,-174.35,81.59,80,94,16.78,TO,1672628781
221,marawi,7.9986,124.2928,78.13,68,85,5.79,PH,1672628781
222,gouyave,12.1646,-61.7296,75.88,83,15,14.07,GD,1672628781
223,yulara,-25.2406,130.9889,96.71,29,83,17.13,AU,1672628782
224,iquitos,-3.7481,-73.2472,73.44,88,100,8.05,PE,1672628782
225,iqaluit,63.7506,-68.5145,-7.08,97,100,3.56,CA,1672628783
226,laoag,18.1989,120.5936,84.11,74,75,2.3,PH,1672628783
227,glubokiy,48.5217,40.3258,45.41,85,84,15.32,RU,1672628783
228,labuhan,-6.8844,112.2051,83.17,75,100,19.06,ID,1672628784
229,san carlos de bariloche,-41.1456,-71.3082,48.34,57,100,10.18,AR,1672628603
230,mango,27.9797,-82.3065,69.06,84,0,0.0,US,1672628784
231,thompson,55.7435,-97.8558,-12.26,100,43,2.89,CA,1672628683
232,ilulissat,69.2167,-51.1,-3.98,65,100,19.57,GL,1672628785
233,norman wells,65.282,-126.8329,-2.13,94,100,6.64,CA,1672628785
234,byron bay,-28.65,153.6167,80.94,59,1,11.92,AU,1672628786
235,suluq,31.6682,20.2521,53.31,85,0,7.92,LY,1672628786
236,port hedland,-20.3167,118.5667,93.25,52,100,10.36,AU,1672628559
237,coquimbo,-29.9533,-71.3436,64.92,82,12,1.7,CL,1672628597
238,whakatane,-37.9585,176.9854,71.89,73,100,5.99,NZ,1672628787
239,capoterra,39.1763,8.9718,55.53,93,0,2.3,IT,1672628787
240,port pirie,-33.1833,138.0167,83.46,42,0,16.89,AU,1672628788
241,jucas,-6.5253,-39.5275,77.77,59,100,2.17,BR,1672628788
242,harlingen,26.1906,-97.6961,73.06,98,40,11.5,US,1672628303
243,ewa beach,21.3156,-158.0072,78.75,69,100,10.36,US,1672628788
244,cabedelo,-6.9811,-34.8339,79.47,84,86,9.57,BR,1672628789
245,husavik,66.0449,-17.3389,22.77,76,100,18.95,IS,1672628789
246,esperance,-33.8667,121.9,67.59,55,15,12.84,AU,1672628789
247,svetlyy,54.675,20.1347,46.45,92,100,7.47,RU,1672628790
248,kargasok,59.0556,80.8572,-10.73,97,100,1.52,RU,1672628790
249,polewali,-3.4324,119.3435,87.03,54,100,3.58,ID,1672628791
250,geraldton,-28.7667,114.6,90.01,25,0,19.57,AU,1672628791
251,rafai,4.95,23.9167,68.04,46,0,3.65,CF,1672628791
252,chumikan,54.7183,135.315,-14.33,80,39,22.84,RU,1672628792
253,grand gaube,-20.0064,57.6608,78.39,74,24,2.42,MU,1672628640
254,muncar,-8.4333,114.3333,86.13,65,79,2.17,ID,1672628792
255,imbituba,-28.24,-48.6703,72.63,96,38,11.97,BR,1672628793
256,mossendjo,-2.9506,12.7261,69.04,99,100,1.92,CG,1672628793
257,talara,-4.5772,-81.2719,70.56,73,0,14.97,PE,1672628793
258,lata,40.1629,-8.3327,48.33,87,60,3.0,PT,1672628794
259,matara,5.9485,80.5353,76.24,78,100,5.03,LK,1672628575
260,wad madani,14.4012,33.5199,69.6,23,51,13.49,SD,1672628794
261,benalla,-36.55,145.9833,84.58,45,100,8.59,AU,1672628795
262,tungor,53.3808,142.9564,-10.79,81,62,16.08,RU,1672628795
263,cabinda,-5.55,12.2,75.56,90,100,5.84,AO,1672628795
264,baherden,38.4362,57.4316,39.79,61,7,3.98,TM,1672628796
265,goya,-29.14,-59.2626,71.92,94,9,4.21,AR,1672628796
266,vestmannaeyjar,63.4427,-20.2734,39.65,58,100,22.79,IS,1672628796
267,olafsvik,64.8945,-23.7142,37.58,66,100,27.98,IS,1672628689
268,santiago,-33.4569,-70.6483,72.28,45,0,3.33,CL,1672628450
269,saint-pierre,-21.3393,55.4781,76.68,61,0,9.22,RE,1672628797
270,bambanglipuro,-7.95,110.2833,83.88,70,99,14.12,ID,1672628797
271,yar-sale,66.8333,70.8333,-30.57,100,22,6.87,RU,1672628798
272,katherine,-14.4667,132.2667,77.32,88,75,16.11,AU,1672628702
273,luanda,-8.8368,13.2343,76.86,83,100,4.56,AO,1672628798
274,lorengau,-2.0226,147.2712,85.05,69,47,5.99,PG,1672628799
275,harbour breton,47.4833,-55.7983,37.04,89,100,17.92,CA,1672628799
276,torbay,47.6666,-52.7314,37.89,97,100,5.01,CA,1672628799
277,asekeyevo,53.5742,52.7972,32.31,98,100,19.42,RU,1672628800
278,kieta,-6.2167,155.6333,85.82,66,100,10.0,PG,1672628800
279,lompoc,34.6391,-120.4579,53.78,86,75,18.41,US,1672628585
280,nelson bay,-32.7167,152.15,80.65,65,0,3.0,AU,1672628801
281,colac,-38.3333,143.5833,82.17,39,26,12.37,AU,1672628801
282,roald,62.5833,6.1333,34.09,69,75,6.91,NO,1672628801
283,brive-la-gaillarde,45.25,1.5,58.84,19,100,6.6,FR,1672628802
284,sheridan,44.8333,-106.9173,30.31,84,100,0.0,US,1672628738
